radial_window,m_defects,seeds,median_delta_A_over_R2_mean,median_delta_C_mean,median_delta_C_sem,final_active_faces_mean
mid_0p60_1p00,0,3,0.0,0.0,0.0,20494.666667
mid_0p60_1p00,2,3,7.44503e-07,0.0,0.0,5506.0
mid_0p60_1p00,4,3,1.482837e-06,0.0,0.0,5637.0
mid_0p60_1p00,8,3,2.37775e-06,0.0,0.0,5987.0
mid_0p60_1p00,16,3,2.490286e-06,0.0,0.0,6587.0
outer_1p00_1p60,0,3,0.0,0.0,0.0,20494.666667
outer_1p00_1p60,2,3,2.881442e-07,0.0,0.0,5506.0
outer_1p00_1p60,4,3,5.739006e-07,0.0,0.0,5637.0
outer_1p00_1p60,8,3,9.202581e-07,0.0,0.0,5987.0
outer_1p00_1p60,16,3,9.638125e-07,0.0,0.0,6587.0
wide_0p25_1p60,0,3,0.0,0.0,0.0,20494.666667
wide_0p25_1p60,2,3,5.599259e-07,0.0,0.0,5506.0
wide_0p25_1p60,4,3,1.115212e-06,0.0,0.0,5637.0
wide_0p25_1p60,8,3,1.788259e-06,0.0,0.0,5987.0
wide_0p25_1p60,16,3,1.872894e-06,0.0,0.0,6587.0
