radial_window,m_defects,seeds,support_fraction_used_mean,median_n_faces_annulus_mean,median_n_faces_annulus_m0_mean,median_delta_A_over_R2_mean,A_seed_frac_positive,median_delta_C_mean,C_seed_frac_positive,final_active_faces_mean
mid_0p60_1p00,0,3,1.0,439.0,439.0,0.0,0.0,0.0,0.0,20494.666667
mid_0p60_1p00,2,3,1.0,115.333333,439.0,-0.000876,0.0,0.0027,0.666667,5506.0
mid_0p60_1p00,4,3,1.0,115.333333,439.0,-0.000875,0.0,0.0027,0.666667,5637.0
mid_0p60_1p00,8,3,1.0,115.333333,439.0,-0.000873,0.0,0.0027,0.666667,5987.0
mid_0p60_1p00,16,3,1.0,115.333333,439.0,-0.000873,0.0,0.0027,0.666667,6587.0
outer_1p00_1p60,0,3,1.0,366.166667,366.166667,0.0,0.0,0.0,0.0,20494.666667
outer_1p00_1p60,2,3,0.972222,95.666667,343.833333,-0.000297,0.0,-0.003931,0.333333,5506.0
outer_1p00_1p60,4,3,0.972222,95.666667,343.833333,,,,,5637.0
outer_1p00_1p60,8,3,0.972222,95.666667,343.833333,,,,,5987.0
outer_1p00_1p60,16,3,0.972222,95.666667,343.833333,,,,,6587.0
wide_0p25_1p60,0,3,1.0,427.0,427.0,0.0,0.0,0.0,0.0,20494.666667
wide_0p25_1p60,2,3,0.987654,109.5,424.666667,,,,,5506.0
wide_0p25_1p60,4,3,0.987654,109.5,424.666667,,,,,5637.0
wide_0p25_1p60,8,3,0.987654,109.5,424.666667,,,,,5987.0
wide_0p25_1p60,16,3,0.987654,109.5,424.666667,,,,,6587.0
